open,high,low,close,volume,quote_volume,trades_count,taker_buy_base_volume,taker_buy_quote_volume,timestamp,date,time,symbol,interval
110200.01,110200.01,109341.28,109524.81,629.20848,69133931.5351445,149610,245.96744,27027731.3584212,2025-10-23 20:00:00,2025-10-23,20:00:00,BTCUSDT,1h
109524.81,109727.22,109380.12,109532.97,424.08473,46467125.8134215,112407,211.07122,23129429.4806485,2025-10-23 21:00:00,2025-10-23,21:00:00,BTCUSDT,1h
109532.96,110158.37,109517.37,109943.94,443.21336,48722366.504129,89307,225.45747,24781427.0222996,2025-10-23 22:00:00,2025-10-23,22:00:00,BTCUSDT,1h
109943.95,110099.17,109839.0,110078.18,259.37538,28533700.4341738,56828,110.97441,12208868.5183154,2025-10-23 23:00:00,2025-10-23,23:00:00,BTCUSDT,1h
110078.19,110709.22,109983.93,110500.28,531.07612,58596804.8445238,149683,306.22062,33788755.54313,2025-10-24 00:00:00,2025-10-24,00:00:00,BTCUSDT,1h
110500.29,110665.53,110141.38,110585.08,371.9999,41088267.6861367,113392,188.75538,20850954.8866221,2025-10-24 01:00:00,2025-10-24,01:00:00,BTCUSDT,1h
110585.09,110829.67,110358.34,110570.12,303.69215,33570292.4052714,90066,157.77978,17442879.7113517,2025-10-24 02:00:00,2025-10-24,02:00:00,BTCUSDT,1h
110570.13,110630.81,110274.85,110441.46,332.11629,36676450.1751099,73346,116.92247,12912335.4749219,2025-10-24 03:00:00,2025-10-24,03:00:00,BTCUSDT,1h
110441.46,111470.32,110332.0,111178.55,958.63918,106486043.6093601,175810,484.45231,53803034.9887757,2025-10-24 04:00:00,2025-10-24,04:00:00,BTCUSDT,1h
111178.54,111310.31,110941.02,111261.36,515.30958,57275241.1958714,116812,252.99958,28120035.8516883,2025-10-24 05:00:00,2025-10-24,05:00:00,BTCUSDT,1h
111261.37,111488.0,111120.71,111464.36,480.6909,53511338.1049883,92347,233.42827,25986302.1620153,2025-10-24 06:00:00,2025-10-24,06:00:00,BTCUSDT,1h
111464.36,111522.3,110768.23,111054.61,750.55477,83416967.0583247,124275,308.66669,34306695.5396977,2025-10-24 07:00:00,2025-10-24,07:00:00,BTCUSDT,1h
111054.61,111226.02,110680.01,111097.8,627.57826,69653098.8675604,148487,256.27578,28445471.936407,2025-10-24 08:00:00,2025-10-24,08:00:00,BTCUSDT,1h
111097.79,111482.99,111000.0,111324.51,446.13074,49657728.8094034,124340,240.89352,26813063.2578036,2025-10-24 09:00:00,2025-10-24,09:00:00,BTCUSDT,1h
111324.51,111325.42,111069.46,111114.03,346.40996,38514445.4396166,89725,166.97808,18563545.5062346,2025-10-24 10:00:00,2025-10-24,10:00:00,BTCUSDT,1h
111114.03,111267.99,110600.0,111066.29,561.52762,62315839.0697976,108794,259.21088,28768341.3541755,2025-10-24 11:00:00,2025-10-24,11:00:00,BTCUSDT,1h
111066.29,112104.98,110867.15,111297.01,1692.92113,188816502.6066848,281177,936.40577,104448645.6600011,2025-10-24 12:00:00,2025-10-24,12:00:00,BTCUSDT,1h
111297.02,111451.47,110379.51,110937.94,1200.08389,133165313.3438949,276571,572.4501,63535290.0035738,2025-10-24 13:00:00,2025-10-24,13:00:00,BTCUSDT,1h
110937.94,110937.95,109700.01,110219.17,1902.54077,209484551.4970072,368501,985.30994,108483410.425792,2025-10-24 14:00:00,2025-10-24,14:00:00,BTCUSDT,1h
110219.17,110620.0,109896.51,110046.91,737.57678,81337452.2398064,203525,383.93543,42348364.781748,2025-10-24 15:00:00,2025-10-24,15:00:00,BTCUSDT,1h
110046.92,110387.79,109797.13,110261.81,441.40283,48586346.4460354,127721,227.43516,25036322.6540435,2025-10-24 16:00:00,2025-10-24,16:00:00,BTCUSDT,1h
110261.81,110571.18,110180.74,110235.22,368.64619,40685338.5578466,110196,159.45489,17597345.2992284,2025-10-24 17:00:00,2025-10-24,17:00:00,BTCUSDT,1h
110235.22,110639.04,110166.0,110619.39,336.10914,37131976.3437461,109597,167.78267,18532662.176591,2025-10-24 18:00:00,2025-10-24,18:00:00,BTCUSDT,1h
110619.39,110945.39,110525.06,110615.07,323.90966,35871793.4729614,101887,169.84311,18811343.7729427,2025-10-24 19:00:00,2025-10-24,19:00:00,BTCUSDT,1h
110615.07,111025.95,110478.0,110893.7,514.0647,56957297.7810681,76839,271.25284,30055396.6778305,2025-10-24 20:00:00,2025-10-24,20:00:00,BTCUSDT,1h
110893.69,111100.0,110646.64,111085.57,915.59401,101529366.9911296,104633,497.29509,55144765.1907383,2025-10-24 21:00:00,2025-10-24,21:00:00,BTCUSDT,1h
111085.57,111138.62,110927.23,111023.01,203.9224,22642342.8713139,43646,106.81425,11860387.6690879,2025-10-24 22:00:00,2025-10-24,22:00:00,BTCUSDT,1h
111023.01,111123.87,110882.05,111004.89,142.67216,15835965.5358737,29652,60.68079,6735104.283222,2025-10-24 23:00:00,2025-10-24,23:00:00,BTCUSDT,1h
111004.9,111044.86,110672.86,110766.6,210.6583,23349827.6345335,58448,79.73331,8836937.6925547,2025-10-25 00:00:00,2025-10-25,00:00:00,BTCUSDT,1h
110766.61,111226.67,110750.0,111070.31,235.37952,26126794.0229043,58580,116.80666,12966272.6900812,2025-10-25 01:00:00,2025-10-25,01:00:00,BTCUSDT,1h
111070.31,111128.91,110950.02,111025.77,134.00021,14877553.2852131,39916,39.01836,4332049.5946212,2025-10-25 02:00:00,2025-10-25,02:00:00,BTCUSDT,1h
111025.77,111136.65,110998.21,111029.99,249.3111,27692352.3114791,37951,132.21568,14685555.4416976,2025-10-25 03:00:00,2025-10-25,03:00:00,BTCUSDT,1h
111029.99,111458.81,111029.99,111228.0,411.01306,45744864.3629497,54847,220.09885,24495354.1202086,2025-10-25 04:00:00,2025-10-25,04:00:00,BTCUSDT,1h
111228.0,111433.54,111093.99,111386.79,235.19046,26162337.8894317,45206,111.87694,12446381.5631148,2025-10-25 05:00:00,2025-10-25,05:00:00,BTCUSDT,1h
111386.78,111497.1,111261.01,111366.42,334.48878,37248987.0248542,47216,160.27642,17848765.012175,2025-10-25 06:00:00,2025-10-25,06:00:00,BTCUSDT,1h
111366.43,111820.87,111366.43,111489.6,436.39799,48694266.3850442,79901,232.45126,25936689.1792474,2025-10-25 07:00:00,2025-10-25,07:00:00,BTCUSDT,1h
