open,high,low,close,volume,quote_volume,trades_count,taker_buy_base_volume,taker_buy_quote_volume,timestamp,date,time,symbol,interval
0.9997,0.9997,0.9996,0.9996,53048638.0,53030779.3734,14786,33608286.0,33598203.5142,2025-10-19 12:00:00,2025-10-19,12:00:00,USDCUSDT,1h
0.9996,0.9997,0.9996,0.9997,33937471.0,33925550.915,18239,16549034.0,16544069.2898,2025-10-19 13:00:00,2025-10-19,13:00:00,USDCUSDT,1h
0.9996,0.9997,0.9996,0.9997,57905299.0,57885167.4541,19825,30305737.0,30296645.2789,2025-10-19 14:00:00,2025-10-19,14:00:00,USDCUSDT,1h
0.9997,0.9997,0.9995,0.9995,132793077.0,132740712.1914,21179,37173483.0,37159736.6004,2025-10-19 15:00:00,2025-10-19,15:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9996,23645256.0,23634582.7774,16241,11494054.0,11489456.3784,2025-10-19 16:00:00,2025-10-19,16:00:00,USDCUSDT,1h
0.9995,0.9997,0.9995,0.9995,98994611.0,98952843.1553,20750,56875031.0,56852349.6761,2025-10-19 17:00:00,2025-10-19,17:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,50220213.0,50196623.5469,13797,15206534.0,15200451.3864,2025-10-19 18:00:00,2025-10-19,18:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,66327084.0,66296208.6326,13414,22881746.0,22872593.3016,2025-10-19 19:00:00,2025-10-19,19:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9996,27606845.0,27593815.4494,9658,7738719.0,7735623.5124,2025-10-19 20:00:00,2025-10-19,20:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9996,28514674.0,28501667.7303,9516,12510673.0,12505668.7308,2025-10-19 21:00:00,2025-10-19,21:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,27901136.0,27888375.7501,9837,11903181.0,11898419.7276,2025-10-19 22:00:00,2025-10-19,22:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,56786967.0,56761674.9434,10941,31014269.0,31001863.2924,2025-10-19 23:00:00,2025-10-19,23:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9995,44985390.0,44964091.3931,17228,11940881.0,11936104.6476,2025-10-20 00:00:00,2025-10-20,00:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,47276930.0,47255276.4157,10038,19848807.0,19840867.4772,2025-10-20 01:00:00,2025-10-20,01:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,42607691.0,42588712.87,10965,23257155.0,23247852.138,2025-10-20 02:00:00,2025-10-20,02:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,56883401.0,56859287.9403,19626,43286408.0,43269093.4368,2025-10-20 03:00:00,2025-10-20,03:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9996,30927764.0,30914148.2818,15781,18481638.0,18474245.3448,2025-10-20 04:00:00,2025-10-20,04:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9995,54454564.0,54430479.0606,16375,31423426.0,31410856.6296,2025-10-20 05:00:00,2025-10-20,05:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9996,73964663.0,73932177.2635,22520,44965950.0,44947963.62,2025-10-20 06:00:00,2025-10-20,06:00:00,USDCUSDT,1h
0.9996,0.9997,0.9995,0.9996,109451251.0,109407166.1912,22597,71404142.0,71376561.7138,2025-10-20 07:00:00,2025-10-20,07:00:00,USDCUSDT,1h
0.9997,0.9997,0.9995,0.9995,43911800.0,43893383.72,17403,16697501.0,16691010.3,2025-10-20 08:00:00,2025-10-20,08:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9995,57461944.0,57436117.9792,15151,29049512.0,29037892.1952,2025-10-20 09:00:00,2025-10-20,09:00:00,USDCUSDT,1h
0.9996,0.9996,0.9995,0.9995,74395946.0,74362508.9586,18557,37609316.0,37594272.2736,2025-10-20 10:00:00,2025-10-20,10:00:00,USDCUSDT,1h
0.9995,0.9997,0.9995,0.9997,93860476.0,93825403.1592,17847,62246053.0,62223674.4172,2025-10-20 11:00:00,2025-10-20,11:00:00,USDCUSDT,1h
0.9997,0.9997,0.9995,0.9997,207471532.0,207388335.1221,22570,104938774.0,104898372.9044,2025-10-20 12:00:00,2025-10-20,12:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9996,57983812.0,57964571.0503,19590,39525751.0,39513893.2747,2025-10-20 13:00:00,2025-10-20,13:00:00,USDCUSDT,1h
0.9996,1.0,0.9996,0.9997,475369474.0,475266290.9933,27998,215374976.0,215330894.3932,2025-10-20 14:00:00,2025-10-20,14:00:00,USDCUSDT,1h
0.9998,0.9998,0.9996,0.9996,127012193.0,126967854.9305,20701,29811458.0,29802633.6357,2025-10-20 15:00:00,2025-10-20,15:00:00,USDCUSDT,1h
0.9997,0.9997,0.9995,0.9995,167921259.0,167851936.409,28457,77438150.0,77407483.013,2025-10-20 16:00:00,2025-10-20,16:00:00,USDCUSDT,1h
0.9995,0.9997,0.9995,0.9996,51646121.0,51626098.8507,17804,32660072.0,32648175.7161,2025-10-20 17:00:00,2025-10-20,17:00:00,USDCUSDT,1h
0.9996,0.9997,0.9996,0.9996,58431346.0,58411731.8374,15080,37583758.0,37572482.8726,2025-10-20 18:00:00,2025-10-20,18:00:00,USDCUSDT,1h
0.9997,1.0,0.9996,0.9996,244269059.0,244205449.5856,21820,129425230.0,129388859.1071,2025-10-20 19:00:00,2025-10-20,19:00:00,USDCUSDT,1h
0.9996,0.9998,0.9996,0.9997,84141364.0,84115317.8361,14718,48084707.0,48070992.7899,2025-10-20 20:00:00,2025-10-20,20:00:00,USDCUSDT,1h
0.9997,0.9998,0.9996,0.9996,43312237.0,43298595.9358,12693,30290042.0,30280961.4929,2025-10-20 21:00:00,2025-10-20,21:00:00,USDCUSDT,1h
0.9997,0.9998,0.9996,0.9997,33117608.0,33106439.3871,9031,14724850.0,14720529.2301,2025-10-20 22:00:00,2025-10-20,22:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9997,11970316.0,11966224.0766,7021,6962030.0,6959941.391,2025-10-20 23:00:00,2025-10-20,23:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9996,39450049.0,39436378.3617,9702,21093813.0,21087484.8561,2025-10-21 00:00:00,2025-10-21,00:00:00,USDCUSDT,1h
0.9996,0.9998,0.9996,0.9996,49521364.0,49505468.0332,13004,30990245.0,30980951.837,2025-10-21 01:00:00,2025-10-21,01:00:00,USDCUSDT,1h
0.9997,0.9998,0.9996,0.9996,54705160.0,54686426.6903,15522,22597027.0,22590267.1801,2025-10-21 02:00:00,2025-10-21,02:00:00,USDCUSDT,1h
0.9996,0.9997,0.9996,0.9996,81206997.0,81178735.7405,11455,42215393.0,42202728.3821,2025-10-21 03:00:00,2025-10-21,03:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9997,95872187.0,95836773.5022,20784,29353770.0,29344963.869,2025-10-21 04:00:00,2025-10-21,04:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9997,64230185.0,64206563.2971,14690,20703711.0,20697499.8867,2025-10-21 05:00:00,2025-10-21,05:00:00,USDCUSDT,1h
0.9996,0.9997,0.9996,0.9997,54599338.0,54579652.4711,15726,21542063.0,21535600.3811,2025-10-21 06:00:00,2025-10-21,06:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9997,67832132.0,67808373.1619,15674,33740147.0,33730024.9559,2025-10-21 07:00:00,2025-10-21,07:00:00,USDCUSDT,1h
0.9996,0.9997,0.9996,0.9997,109180514.0,109141708.4299,17687,48666355.0,48651755.0935,2025-10-21 08:00:00,2025-10-21,08:00:00,USDCUSDT,1h
0.9996,0.9997,0.9995,0.9997,143881689.0,143824186.6317,15728,74653093.0,74624171.2637,2025-10-21 09:00:00,2025-10-21,09:00:00,USDCUSDT,1h
0.9997,0.9997,0.9996,0.9996,151395504.0,151344247.2566,16361,93014582.0,92986677.6254,2025-10-21 10:00:00,2025-10-21,10:00:00,USDCUSDT,1h
0.9996,0.9999,0.9996,0.9998,233397017.0,233334837.9554,17506,123524143.0,123491520.8299,2025-10-21 11:00:00,2025-10-21,11:00:00,USDCUSDT,1h
0.9997,0.9998,0.9996,0.9996,86854961.0,86825790.3169,18927,45369559.0,45356130.2749,2025-10-21 12:00:00,2025-10-21,12:00:00,USDCUSDT,1h
0.9996,0.9998,0.9995,0.9995,250567918.0,250476797.3793,26790,115315923.0,115276136.6648,2025-10-21 13:00:00,2025-10-21,13:00:00,USDCUSDT,1h
0.9995,0.9997,0.9995,0.9995,149781234.0,149713315.2925,35887,62496456.0,62471494.5489,2025-10-21 14:00:00,2025-10-21,14:00:00,USDCUSDT,1h
0.9995,0.9996,0.9995,0.9996,128575278.0,128516806.0877,39515,58157267.0,58134004.0932,2025-10-21 15:00:00,2025-10-21,15:00:00,USDCUSDT,1h
0.9996,0.9996,0.9994,0.9996,295219755.0,295065414.4327,35197,126040161.0,125977814.8271,2025-10-21 16:00:00,2025-10-21,16:00:00,USDCUSDT,1h
0.9996,0.9996,0.9994,0.9994,189489120.0,189389665.6155,28508,45030120.0,45008328.2838,2025-10-21 17:00:00,2025-10-21,17:00:00,USDCUSDT,1h
0.9994,0.9995,0.9993,0.9994,163934245.0,163839688.7592,18378,102243508.0,102186183.4012,2025-10-21 18:00:00,2025-10-21,18:00:00,USDCUSDT,1h
0.9994,0.9995,0.9993,0.9994,135268268.0,135191012.0106,14337,46522595.0,46498645.5566,2025-10-21 19:00:00,2025-10-21,19:00:00,USDCUSDT,1h
0.9995,0.9995,0.9994,0.9994,66245910.0,66209328.5308,16817,31660768.0,31644937.616,2025-10-21 20:00:00,2025-10-21,20:00:00,USDCUSDT,1h
0.9995,0.9995,0.9994,0.9995,53834700.0,53805204.2908,15418,28051108.0,28037082.446,2025-10-21 21:00:00,2025-10-21,21:00:00,USDCUSDT,1h
0.9994,0.9995,0.9994,0.9994,99884402.0,99827650.2659,19384,31789071.0,31773176.4645,2025-10-21 22:00:00,2025-10-21,22:00:00,USDCUSDT,1h
0.9994,0.9995,0.9994,0.9995,43787510.0,43763188.6729,15812,19511789.0,19502033.1055,2025-10-21 23:00:00,2025-10-21,23:00:00,USDCUSDT,1h
0.9995,0.9995,0.9994,0.9994,36482217.0,36462570.8737,16252,22432039.0,22420822.9805,2025-10-22 00:00:00,2025-10-22,00:00:00,USDCUSDT,1h
